Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.000136658481	-0.000136658481	-0.000136658481	-0.000136658481	0	0	0	0	0	0	3
2	1	0	0.05	-0.00972043514	-0.00492854681	-0.00972043514	-0.000136658481	0.00479188833	0	0	0	0	0	3
3	1	0	0.075	0.0100086941	5.05334808e-05	-0.00972043514	0.0100086941	0.00497908029	0	0	0	0	0	3
4	1	0	0.1	0.0094236488	0.00239381231	-0.00972043514	0.0100086941	0.00732235912	0	0	0	0	0	3
5	2	0	0.125	0.00342255715	0.00259956128	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
6	2	0	0.15	0.0011249525	0.00235379315	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
7	2	0	0.175	0.00146139887	0.00222630825	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
8	2	0	0.2	-0.000711914187	0.00185903045	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
9	2	0	0.225	-0.00165805876	0.00146824276	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
10	2	0	0.25	0.000487430262	0.00137016151	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
11	2	0	0.275	-0.000909958671	0.00116287785	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
12	2	0	0.3	-0.00151983698	0.000939318286	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
13	2	0	0.325	0.000130650378	0.000877113062	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
14	2	0	0.35	-0.0010777915	0.000737477022	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
15	3	0	0.375	-0.00132363246	0.000600069724	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
16	3	0	0.4	0.00129086424	0.000643244381	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
17	3	0	0.425	-0.000113256229	0.000598744345	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
18	3	0	0.45	0.000121012342	0.000572203678	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
19	3	0	0.475	0.00572796218	0.000843559389	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
20	3	0	0.5	0.00472408389	0.00103758561	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
21	3	0	0.525	0.000521204989	0.00107047879	-0.00972043514	0.0100086941	0.00752810809	0	0	0	0	0	3
22	3	0	0.55	-0.000568153649	0.00152809286	-0.00165805876	0.0100086941	0.0025490278	0	0	0	0	0	3
23	3	0	0.575	0.00089202177	0.00107225925	-0.00165805876	0.0094236488	0.0020273576	0	0	0	0	0	3
24	3	0	0.6	-0.000516618843	0.000575245865	-0.00165805876	0.00572796218	0.0020273576	0	0	0	0	0	3
25	4	0	0.625	-1.40615079e-05	0.000403414932	-0.00165805876	0.00572796218	0.00195037822	0	0	0	0	0	3
26	4	0	0.65	0.00473566918	0.000583950767	-0.00165805876	0.00572796218	0.00182289332	0	0	0	0	0	3
27	4	0	0.675	0.00327071942	0.000674416794	-0.00165805876	0.00572796218	0.00145561551	0	0	0	0	0	3
28	4	0	0.7	7.95029487e-05	0.000713987651	-0.00165805876	0.00572796218	0.00112467793	0	0	0	0	0	3
29	4	0	0.725	0.000267045427	0.00081024286	-0.00151983698	0.00572796218	0.00112467793	0	0	0	0	0	3
30	4	0	0.75	0.000333761948	0.000802559444	-0.00151983698	0.00572796218	0.00112467793	0	0	0	0	0	3
31	4	0	0.775	-0.000285438226	0.000833785467	-0.00151983698	0.00572796218	0.00112467793	0	0	0	0	0	3
32	4	0	0.8	-0.000222117572	0.000898671437	-0.00132363246	0.00572796218	0.00112467793	0	0	0	0	0	3
33	4	0	0.825	0.00409564389	0.00109692111	-0.00132363246	0.00572796218	0.00112467793	0	0	0	0	0	3
34	4	0	0.85	0.00267765246	0.00128469331	-0.00132363246	0.00572796218	0.00112467793	0	0	0	0	0	3
35	5	0	0.875	-3.26938347e-06	0.00135071146	-0.000568153649	0.00572796218	0.00112467793	0	0	0	0	0	3
36	5	0	0.9	-0.000547985863	0.00125876896	-0.000568153649	0.00572796218	0.00112467793	0	0	0	0	0	3
