Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	125585.293	125585.293	125585.293	125585.293	0	0	0	0	0	0	3
2	1	0	0.05	122780.521	124182.907	122780.521	125585.293	1402.38583	0	0	0	0	0	3
3	1	0	0.075	128014.315	125460.043	122780.521	128014.315	1402.38583	0	0	0	0	0	3
4	1	0	0.1	138094.322	128618.613	122780.521	138094.322	4435.70594	0	0	0	0	0	3
5	2	0	0.125	147396.434	132374.177	122780.521	147396.434	8191.27008	0	0	0	0	0	3
6	2	0	0.15	150301.122	135362.001	122780.521	150301.122	11179.0942	0	0	0	0	0	3
7	2	0	0.175	159084.174	138750.883	122780.521	159084.174	14567.976	0	0	0	0	0	3
8	2	0	0.2	163326.98	141822.895	122780.521	163326.98	17639.9882	0	0	0	0	0	3
9	2	0	0.225	158970.473	143728.182	122780.521	163326.98	19545.2746	0	0	0	0	0	3
10	2	0	0.25	158591.704	145214.534	122780.521	163326.98	21031.6268	0	0	0	0	0	3
11	2	0	0.275	160867.518	146637.532	122780.521	163326.98	22454.6253	0	0	0	0	0	3
12	2	0	0.3	153634.628	147220.624	122780.521	163326.98	23037.7167	0	0	0	0	0	3
13	2	0	0.325	152868.835	147655.101	122780.521	163326.98	23472.1945	0	0	0	0	0	3
14	2	0	0.35	152089.848	147971.869	122780.521	163326.98	23788.9621	0	0	0	0	0	3
15	3	0	0.375	146080.212	147845.759	122780.521	163326.98	23788.9621	0	0	0	0	0	3
16	3	0	0.4	145909.164	147724.721	122780.521	163326.98	23788.9621	0	0	0	0	0	3
17	3	0	0.425	145130.943	147572.146	122780.521	163326.98	23788.9621	0	0	0	0	0	3
18	3	0	0.45	142212.883	147274.409	122780.521	163326.98	23788.9621	0	0	0	0	0	3
19	3	0	0.475	149135.552	147372.364	122780.521	163326.98	23788.9621	0	0	0	0	0	3
20	3	0	0.5	157364.008	147871.946	122780.521	163326.98	23788.9621	0	0	0	0	0	3
21	3	0	0.525	160824.554	149633.91	122780.521	163326.98	25451.0026	0	0	0	0	0	3
22	3	0	0.55	153212.957	151155.531	128014.315	163326.98	25695.4882	0	0	0	0	0	3
23	3	0	0.575	152332.359	152371.434	138094.322	163326.98	23752.8206	0	0	0	0	0	3
24	3	0	0.6	152959.558	153114.695	142212.883	163326.98	20740.5183	0	0	0	0	0	3
25	4	0	0.625	150086.018	153249.175	142212.883	163326.98	17887.1734	0	0	0	0	0	3
26	4	0	0.65	158112.761	153639.757	142212.883	163326.98	14888.8735	0	0	0	0	0	3
27	4	0	0.675	163614.663	153866.281	142212.883	163614.663	12043.3858	0	0	0	0	0	3
