Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	279.427856	279.427856	279.427856	279.427856	0	0	0	0	0	0	3
2	1	0	0.05	280.405658	279.916757	279.427856	280.405658	0.488900963	0	0	0	0	0	3
3	1	0	0.075	282.853974	280.89583	279.427856	282.853974	1.46797343	0	0	0	0	0	3
4	1	0	0.1	285.124412	281.952975	279.427856	285.124412	2.52511899	0	0	0	0	0	3
5	2	0	0.125	286.394415	282.841263	279.427856	286.394415	3.41340692	0	0	0	0	0	3
6	2	0	0.15	286.959006	283.527554	279.427856	286.959006	4.09969749	0	0	0	0	0	3
7	2	0	0.175	288.179157	284.192068	279.427856	288.179157	4.76421232	0	0	0	0	0	3
8	2	0	0.2	288.491541	284.729502	279.427856	288.491541	5.30164633	0	0	0	0	0	3
9	2	0	0.225	288.521367	285.150821	279.427856	288.521367	5.72296464	0	0	0	0	0	3
10	2	0	0.25	288.907712	285.52651	279.427856	288.907712	6.0986538	0	0	0	0	0	3
11	2	0	0.275	289.223414	285.862592	279.427856	289.223414	6.434736	0	0	0	0	0	3
12	2	0	0.3	289.239993	286.144042	279.427856	289.239993	6.71618612	0	0	0	0	0	3
13	2	0	0.325	289.519482	286.403691	279.427856	289.519482	6.97583531	0	0	0	0	0	3
14	2	0	0.35	289.636009	286.634571	279.427856	289.636009	7.20671515	0	0	0	0	0	3
15	3	0	0.375	289.53506	286.827937	279.427856	289.636009	7.40008108	0	0	0	0	0	3
16	3	0	0.4	289.804562	287.013976	279.427856	289.804562	7.58612013	0	0	0	0	0	3
17	3	0	0.425	289.861066	287.181452	279.427856	289.861066	7.75359599	0	0	0	0	0	3
18	3	0	0.45	289.848486	287.329621	279.427856	289.861066	7.90176452	0	0	0	0	0	3
19	3	0	0.475	290.312331	287.486605	279.427856	290.312331	8.05874925	0	0	0	0	0	3
20	3	0	0.5	291.148122	287.669681	279.427856	291.148122	8.24182511	0	0	0	0	0	3
21	3	0	0.525	291.234977	288.260037	280.405658	291.234977	8.34328017	0	0	0	0	0	3
22	3	0	0.55	291.142604	288.796885	282.853974	291.234977	7.90105501	0	0	0	0	0	3
23	3	0	0.575	291.694647	289.238918	285.124412	291.694647	6.57023567	0	0	0	0	0	3
24	3	0	0.6	291.746241	289.57001	286.394415	291.746241	5.35182613	0	0	0	0	0	3
25	4	0	0.625	291.833207	289.841949	286.959006	291.833207	4.87420072	0	0	0	0	0	3
26	4	0	0.65	292.221622	290.10508	288.179157	292.221622	4.04246475	0	0	0	0	0	3
27	4	0	0.675	292.878896	290.340067	288.491541	292.878896	4.38735543	0	0	0	0	0	3
28	4	0	0.7	292.976456	290.564313	288.521367	292.976456	4.45508871	0	0	0	0	0	3
29	4	0	0.725	293.059134	290.791201	288.907712	293.059134	4.15142146	0	0	0	0	0	3
30	4	0	0.75	293.277932	291.009712	289.223414	293.277932	4.05451762	0	0	0	0	0	3
31	4	0	0.775	293.42026	291.219554	289.239993	293.42026	4.1802666	0	0	0	0	0	3
32	4	0	0.8	293.716378	291.443374	289.519482	293.716378	4.19689643	0	0	0	0	0	3
33	4	0	0.825	294.0643	291.670614	289.53506	294.0643	4.52923921	0	0	0	0	0	3
34	4	0	0.85	294.619873	291.919808	289.53506	294.619873	5.08481223	0	0	0	0	0	3
35	5	0	0.875	294.862384	292.186174	289.804562	294.862384	5.05782211	0	0	0	0	0	3
36	5	0	0.9	295.341927	292.463042	289.848486	295.341927	5.28158998	0	0	0	0	0	3
37	5	0	0.925	295.721954	292.756086	289.848486	295.721954	5.42646588	0	0	0	0	0	3
38	5	0	0.95	296.268798	293.077102	290.312331	296.268798	5.59049677	0	0	0	0	0	3
