Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	1	0	0.05
3	1	0	0.075
4	1	0	0.1
5	2	0	0.125
6	2	0	0.15
7	2	0	0.175
8	2	0	0.2
9	2	0	0.225
10	2	0	0.25
11	2	0	0.275
12	2	0	0.3
13	2	0	0.325
14	2	0	0.35
15	3	0	0.375
16	3	0	0.4
17	3	0	0.425
18	3	0	0.45
19	3	0	0.475
20	3	0	0.5
21	3	0	0.525
22	3	0	0.55
23	3	0	0.575
24	3	0	0.6
25	4	0	0.625
26	4	0	0.65
27	4	0	0.675
28	4	0	0.7
29	4	0	0.725
30	4	0	0.75
31	4	0	0.775
32	4	0	0.8
33	4	0	0.825
34	4	0	0.85
35	5	0	0.875
36	5	0	0.9
37	5	0	0.925
38	5	0	0.95
39	5	0	0.975
40	5	0	1
41	5	0	1.025
42	5	0	1.05
43	5	0	1.075
44	5	0	1.1
45	6	0	1.125
46	6	0	1.15
47	6	0	1.175
48	6	0	1.2
49	6	0	1.225
50	6	0	1.25
51	6	0	1.275
52	6	0	1.3
53	6	0	1.325
54	6	0	1.35
55	7	0	1.375
56	7	0	1.4
57	7	0	1.425
58	7	0	1.45
59	7	0	1.475
60	7	0	1.5
61	7	0	1.525
62	7	0	1.55
63	7	0	1.575
64	7	0	1.6
65	8	0	1.625
66	8	0	1.65
67	8	0	1.675
68	8	0	1.7
69	8	0	1.725
70	8	0	1.75
71	8	0	1.775
72	8	0	1.8
73	8	0	1.825
74	8	0	1.85
75	9	0	1.875
76	9	0	1.9
77	9	0	1.925
78	9	0	1.95
79	9	0	1.975
80	9	0	2
81	9	0	2.025
82	9	0	2.05
83	9	0	2.075
84	9	0	2.1
85	10	0	2.125
86	10	0	2.15
87	10	0	2.175
88	10	0	2.2
89	10	0	2.225
90	10	0	2.25
91	10	0	2.275
92	10	0	2.3
93	10	0	2.325
94	10	0	2.35
95	11	0	2.375
96	11	0	2.4
97	11	0	2.425
98	11	0	2.45
99	11	0	2.475
100	11	0	2.5
101	11	0	2.525
102	11	0	2.55
103	12	0	2.575
104	12	0	2.6
105	12	0	2.625
106	12	0	2.65
107	12	0	2.675
108	12	0	2.7
109	12	0	2.725
110	12	0	2.75
111	12	0	2.775
112	12	0	2.8
113	13	0	2.825
114	13	0	2.85
115	13	0	2.875
116	13	0	2.9
117	13	0	2.925
118	13	0	2.95
119	13	0	2.975
120	13	0	3
121	13	0	3.025
122	14	0	3.05
123	14	0	3.075
124	14	0	3.1
125	14	0	3.125
126	14	0	3.15
127	14	0	3.175
128	14	0	3.2
129	14	0	3.225
130	14	0	3.25
131	15	0	3.275
132	15	0	3.3
133	15	0	3.325
134	15	0	3.35
135	15	0	3.375
136	15	0	3.4
137	15	0	3.425
138	15	0	3.45
139	15	0	3.475
140	16	0	3.5
141	16	0	3.525
142	16	0	3.55
143	16	0	3.575
144	16	0	3.6
145	16	0	3.625
146	16	0	3.65
147	16	0	3.675
148	16	0	3.7
149	17	0	3.725
150	17	0	3.75
151	17	0	3.775
152	17	0	3.8
153	17	0	3.825
154	17	0	3.85
155	17	0	3.875
156	17	0	3.9
157	17	0	3.925
158	18	0	3.95
159	18	0	3.975
160	18	0	4
