Ref,Val,Package,PosX,PosY,Rot,Side
+BAT1,+BAT,Soldering_Holes_1mmH_2mmPad,140.5,-51.5,90,top
+E1,+E,Soldering_Holes_1mmH_2mmPad,104,-33.5,180,top
-BAT1,GND,Soldering_Holes_1mmH_2mmPad,140.5,-48.5,90,top
-E1,GND,Soldering_Holes_1mmH_2mmPad,107,-33.5,180,top
3V0,+3.3V,Soldering_Holes_1mmH_2mmPad,100.5,-36.5,-90,top
3V1,+3.3V,Soldering_Holes_1mmH_2mmPad,100.5,-51.5,-90,top
3V2,+3.3V,Soldering_Holes_1mmH_2mmPad,100.5,-67,-90,top
3V3,+3.3V,Soldering_Holes_1mmH_2mmPad,100.5,-82.5,0,top
3V4,+3.3V,Soldering_Holes_1mmH_2mmPad,137,-82.5,0,top
3V5,+3.3V,Soldering_Holes_1mmH_2mmPad,140.5,-70,90,top
3V6,+3.3V,Soldering_Holes_1mmH_2mmPad,140.5,-42.5,90,top
3V7,+3.3V,Soldering_Holes_1mmH_2mmPad,122,-33.5,180,top
AO1,AO1,Soldering_Holes_1mmH_2mmPad,128,-33.5,180,top
AO2,AO2,Soldering_Holes_1mmH_2mmPad,131,-33.5,180,top
BC1,BQ24092DGQR,SOP50P490X110-11N,130.3,-75,0,top
BM1,SI2333CDS-T1-GE3,SOT95P237X112-3N,134.55,-56,180,top
BO1,BO1,Soldering_Holes_1mmH_2mmPad,134,-33.5,180,top
BO2,BO2,Soldering_Holes_1mmH_2mmPad,137,-33.5,180,top
BOOT1,SKHHAJA010,SKHHALA010,106.85,-45.15,-90,top
C1,0.1uF,C_0603_1608Metric,123.725,-63,180,top
C2,22uF,C_0603_1608Metric,130.75,-69.5,-90,top
C3,22uF,C_0603_1608Metric,129.25,-69.5,-90,top
C4,22uF,C_0603_1608Metric,132.25,-69.5,-90,top
C5,10uF,C_0603_1608Metric,131,-55.05,180,top
C6,10uF,C_0603_1608Metric,131,-57.05,180,top
C7,4.7pF,C_0603_1608Metric,125,-70,180,top
C8,22uF,C_0603_1608Metric,133.75,-69.5,-90,top
C9,10uF,C_0603_1608Metric,105.45,-56,90,top
C10,0.1uF,C_0603_1608Metric,105.45,-51.225,-90,top
C11,0.1uF,C_0603_1608Metric,134.225,-37.5,0,top
C12,0.1uF,C_0603_1608Metric,109.45,-51.275,-90,top
C13,1uF,C_0603_1608Metric,123,-73.5,0,top
C14,10uF,C_0603_1608Metric,116,-77,0,top
C15,10uF,C_0603_1608Metric,111.5,-76,0,top
ESD1,D3V3XA4B10LP-7,D3V3XA4B10LP7,121.5,-76.088,0,top
GN0,GND,Soldering_Holes_1mmH_2mmPad,100.5,-33.5,-90,top
GN1,GND,Soldering_Holes_1mmH_2mmPad,100.5,-48.5,-90,top
GN2,GND,Soldering_Holes_1mmH_2mmPad,100.5,-64,-90,top
GN3,GND,Soldering_Holes_1mmH_2mmPad,100.5,-79,-90,top
