Ref,Val,Package,PosX,PosY,Rot,Side
"+BAT1","+BAT","Soldering_Holes_1mmH_2mmPad",142.250000,-83.100000,90.000000,top
"+E1","+E","Soldering_Holes_1mmH_2mmPad",141.850000,-68.400000,90.000000,top
"-BAT1","GND","Soldering_Holes_1mmH_2mmPad",142.250000,-80.100000,90.000000,top
"-E1","GND","Soldering_Holes_1mmH_2mmPad",141.850000,-71.400000,90.000000,top
"3V0","+3.3V","Soldering_Holes_1mmH_2mmPad",106.400000,-33.500000,180.000000,top
"3V1","+3.3V","Soldering_Holes_1mmH_2mmPad",100.500000,-42.500000,-90.000000,top
"3V2","+3.3V","Soldering_Holes_1mmH_2mmPad",100.500000,-67.000000,-90.000000,top
"3V3","+3.3V","Soldering_Holes_1mmH_2mmPad",100.500000,-82.500000,0.000000,top
"3V7","+3.3V","Soldering_Holes_1mmH_2mmPad",122.000000,-33.500000,180.000000,top
"AO1","AO1","Soldering_Holes_1mmH_2mmPad",141.800000,-52.500000,-90.000000,top
"AO2","AO2","Soldering_Holes_1mmH_2mmPad",141.800000,-49.500000,-90.000000,top
"BC1","BQ24092DGQR","SOP50P490X110-11N",110.850000,-76.950000,180.000000,top
"BM1","SI2333CDS-T1-GE3","SOT95P237X112-3N",133.600000,-78.825000,90.000000,top
"BO1","BO1","Soldering_Holes_1mmH_2mmPad",141.800000,-46.500000,-90.000000,top
"BO2","BO2","Soldering_Holes_1mmH_2mmPad",141.800000,-43.500000,-90.000000,top
"BOOT1","SKHHAJA010","SKHHALA010",106.850000,-45.150000,-90.000000,top
"C1","0.1uF","C_0603_1608Metric",139.625000,-64.015000,0.000000,top
"C2","22uF","C_0603_1608Metric",132.600000,-57.515000,90.000000,top
"C3","22uF","C_0603_1608Metric",134.100000,-57.515000,90.000000,top
"C4","22uF","C_0603_1608Metric",131.100000,-57.515000,90.000000,top
"C5","10uF","C_0603_1608Metric",138.350000,-79.125000,0.000000,top
"C6","10uF","C_0603_1608Metric",138.350000,-77.625000,0.000000,top
"C7","4.7pF","C_0603_1608Metric",138.350000,-57.015000,0.000000,top
"C8","22uF","C_0603_1608Metric",129.600000,-57.515000,90.000000,top
"C9","10uF","C_0603_1608Metric",105.450000,-56.000000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",105.450000,-51.225000,-90.000000,top
"C11","0.1uF","C_0603_1608Metric",134.225000,-37.500000,0.000000,top
"C12","0.1uF","C_0603_1608Metric",109.450000,-51.275000,-90.000000,top
"C13","1uF","C_0603_1608Metric",113.050000,-79.850000,0.000000,top
"C14","EEEFTA471XAP","EEE0JA331XP",126.800000,-71.100000,90.000000,top
"C15","EEEFTA471XAP","EEE0JA331XP",135.500000,-71.100000,90.000000,top
"ESD1","USBLC6-2P6","USBLC62P6",120.700000,-75.295000,0.000000,top
"GN0","GND","Soldering_Holes_1mmH_2mmPad",109.400000,-33.500000,180.000000,top
"GN1","GND","Soldering_Holes_1mmH_2mmPad",100.500000,-39.500000,-90.000000,top
"GN2","GND","Soldering_Holes_1mmH_2mmPad",100.500000,-64.000000,-90.000000,top
"GN3","GND","Soldering_Holes_1mmH_2mmPad",100.500000,-79.000000,-90.000000,top
"GN7","GND","Soldering_Holes_1mmH_2mmPad",125.000000,-33.500000,180.000000,top
"I2Ce1","PCA9548APWR","SOP65P640X120-24N",111.962000,-66.000000,0.000000,top
"IC8","ESP32-S3-MINI-1-N8","ESP32S3MINI1N8",120.000000,-51.000000,0.000000,top
"L2","XFL4020-152MEC","XFL4020152MEC",126.550000,-62.815000,-90.000000,top
"LED1","KT-0603G","LEDC1608X70N",105.650000,-73.700000,-90.000000,top
"LED2","KT-0603R","LEDC1608X70N",109.800000,-57.200000,90.000000,top
"LED3","KT-0603R","LEDC1608X70N",109.950000,-73.350000,180.000000,top
"MD1","DRV8835DSSR","DRV8835DSSR",131.950000,-50.250000,180.000000,top
"R1","1M","R_0603_1608Metric",139.850000,-59.015000,180.000000,top
"R2","180k","R_0603_1608Metric",140.850000,-56.690000,90.000000,top
"R3","1M","R_0603_1608Metric",136.850000,-64.515000,90.000000,top
"R4","68k","R_0603_1608Metric",135.850000,-57.515000,90.000000,top
"R5","2k","R_0402_1005Metric",110.500000,-60.600000,180.000000,top
"R6","2k","R_0402_1005Metric",113.200000,-60.900000,180.000000,top
"R7","2k","R_0402_1005Metric",118.500000,-62.500000,180.000000,top
